,ID,target
0,ID_0040R73,1
1,ID_0046BNK,0
2,ID_005QMC3,1
3,ID_0079OHW,0
4,ID_00BRP63,0
5,ID_00D3EF6,1
6,ID_00HHZ8Y,1
7,ID_00M1X6U,0
8,ID_00N7XT1,0
9,ID_00QF156,0
10,ID_00RDFUY,0
11,ID_00TMUS4,0
12,ID_00VRPZL,0
13,ID_00XG988,1
14,ID_019TN1T,1
15,ID_01A4DSV,0
16,ID_01BJS22,0
17,ID_01HTP5J,1
18,ID_01ITX31,0
19,ID_01P8CIZ,1
20,ID_01T1B6E,1
21,ID_01Z1YOR,1
22,ID_01ZY7FF,1
23,ID_020608O,1
24,ID_022U6TV,1
25,ID_02390ZY,0
26,ID_02DJWEN,1
27,ID_02GM2IL,1
28,ID_02NAGK1,0
29,ID_02O5FDM,1
30,ID_02RCBEU,0
31,ID_02T5M8A,1
32,ID_02XA0UK,1
33,ID_034XN1U,0
34,ID_035HSJO,0
35,ID_03H676V,0
36,ID_03HT5Q0,0
37,ID_03LHF6C,0
38,ID_03O8OI6,1
39,ID_03U3I31,1
40,ID_03UD6OT,0
41,ID_03V06TZ,1
42,ID_042RNAI,0
43,ID_046FQ5I,0
44,ID_04C9IRV,1
45,ID_04FP4M2,1
46,ID_04JEN82,1
47,ID_04RDLQY,1
48,ID_04RZ9TY,1
49,ID_04Z1VXP,1
50,ID_052YTIW,1
51,ID_0559SH8,1
52,ID_0577HW2,1
53,ID_058FZ64,0
54,ID_058YC0S,0
55,ID_05CDD8E,0
56,ID_05FC0AD,0
57,ID_05HTYFW,0
58,ID_05R7YFI,1
59,ID_05RDR1E,1
60,ID_05ROASD,1
61,ID_05VUW92,0
62,ID_063CV9E,0
63,ID_063MQH3,1
64,ID_067V50A,0
65,ID_06A4GSU,0
66,ID_06BSIZB,0
67,ID_06CA2IY,0
68,ID_06HCAU1,1
69,ID_06MWQX4,0
70,ID_06TZLPR,1
71,ID_06WKCVO,0
72,ID_070SYAE,0
73,ID_075PIAF,0
74,ID_076DFB7,0
75,ID_0785NAL,0
76,ID_0790YUZ,1
77,ID_079GMOS,1
78,ID_07L368O,0
79,ID_07LQ83J,0
80,ID_07Q2HUE,0
81,ID_07SVRHZ,1
82,ID_08833XP,1
83,ID_088DOQ3,1
84,ID_08EMHRD,1
85,ID_08QV44L,0
