,ID,Policy Start Date,Policy End Date,Gender,Age,First Transaction Date,No_Pol,Car_Category,Subject_Car_Colour,Subject_Car_Make,LGA_Name,State,ProductName,target
0,ID_0040R73,2010-05-14,2011-05-13,Male,30.0,2010-05-14,1,Saloon,Black,TOYOTA,,,Car Classic,0
1,ID_0046BNK,2010-11-29,2011-11-28,Female,79.0,2010-11-29,1,JEEP,Grey,TOYOTA,,,Car Classic,1
2,ID_005QMC3,2010-03-21,2011-03-20,Male,43.0,2010-03-21,1,Saloon,Red,TOYOTA,,,Car Classic,0
3,ID_0079OHW,2010-08-21,2011-08-20,Male,,2010-08-21,1,,,nan,,,CarSafe,0
4,ID_00BRP63,2010-08-29,2010-12-31,,20.0,2010-08-29,3,,,nan,Lagos,Lagos,Muuve,1
5,ID_00D3EF6,2010-10-21,2011-10-20,Male,37.0,2010-10-21,2,,,nan,,,Car Classic,0
6,ID_00HHZ8Y,2010-08-02,2011-08-01,Female,40.0,2010-08-02,3,,,nan,Ikeja,Lagos,CVTP,0
7,ID_00M1X6U,2010-09-12,2011-09-11,Male,43.0,2010-09-12,1,Saloon,,TOYOTA,,,CarSafe,0
8,ID_00N7XT1,2010-07-06,2011-07-05,Female,71.0,2010-07-06,2,JEEP,Black,REXTON,Badagry,Benue,Car Classic,0
9,ID_00QF156,2010-12-18,2011-12-17,Female,58.0,2010-12-18,1,,,nan,Eti-Osa,Eti-Osa,Car Classic,0
10,ID_00RDFUY,2010-12-23,2011-12-22,Female,43.0,2010-12-23,1,,,nan,,,CarSafe,0
11,ID_00TMUS4,2010-10-25,2011-10-23,Male,45.0,2010-10-25,1,JEEP,,Lexus,Victoria Island,Lagos,Car Plus,0
12,ID_00VRPZL,2010-01-03,2011-01-02,Male,51.0,2010-01-03,1,Saloon,,TOYOTA,,,Car Classic,1
13,ID_00XG988,2010-03-26,2011-03-25,Female,,2010-03-26,2,,,TOYOTA,Ikoyi,Lagos,Car Classic,0
14,ID_019TN1T,2010-09-10,2011-09-09,Male,38.0,2010-09-10,1,,,nan,Lagos Mainland,Lagos,Car Classic,0
15,ID_01A4DSV,2010-11-19,2011-11-05,Male,81.0,2010-11-19,1,,,Hyundai,EFFURUN,Delta,Car Classic,0
16,ID_01BJS22,2010-04-26,2011-04-25,Female,69.0,2010-04-26,1,Saloon,,TOYOTA,,,CarSafe,0
17,ID_01HTP5J,2010-05-09,2011-05-08,Female,31.0,2010-05-09,1,Saloon,Black,TOYOTA,,,Car Classic,0
18,ID_01ITX31,2010-06-28,2011-06-27,Male,70.0,2010-06-28,1,,,TOYOTA,Eti-Osa,Eti-Osa,Car Classic,0
19,ID_01P8CIZ,2010-07-27,2011-06-14,Male,20.0,2010-07-27,1,,Blue,Iveco,Abeokuta,Ogun,CVTP,0
20,ID_01T1B6E,2010-12-13,2011-06-12,,20.0,2010-12-13,2,,,DAF,Lagos,Lagos,CVTP,0
21,ID_01Z1YOR,2010-10-16,2011-10-15,Male,30.0,2010-10-16,1,,,nan,,,Car Classic,0
22,ID_01ZY7FF,2010-08-07,2011-08-06,Male,30.0,2010-08-07,1,Saloon,Grey,TOYOTA,Ikeja,Lagos,Car Classic,1
23,ID_020608O,2010-03-05,2011-03-04,Male,34.0,2010-03-05,1,Saloon,Blue,TOYOTA,,,Car Classic,0
24,ID_022U6TV,2010-10-28,2011-10-27,Male,40.0,2010-10-28,2,Saloon,Black,Honda,Abuja Municipal,Abuja-Municipal,Car Classic,0
25,ID_02390ZY,2010-12-11,2011-12-10,Male,,2010-12-11,1,,,nan,,,CarSafe,0
26,ID_02DJWEN,2010-01-23,2011-01-16,Male,41.0,2010-01-23,1,Saloon,Silver,TOYOTA,Yaba,Benue,Car Classic,0
27,ID_02GM2IL,2010-07-02,2011-07-01,Male,31.0,2010-07-02,1,Saloon,Grey,TOYOTA,,,Car Classic,0
28,ID_02NAGK1,2010-03-01,2011-03-01,Male,40.0,2010-03-01,1,Saloon,,TOYOTA,,,CarSafe,0
29,ID_02O5FDM,2010-02-10,2011-02-09,Joint Gender,20.0,2010-02-10,1,,,TOYOTA,Aguda,Benue,Car Classic,0
30,ID_02RCBEU,2010-03-16,2011-03-15,Male,47.0,2010-03-16,2,Saloon,,TOYOTA,Surulere,Lagos,CarSafe,0
31,ID_02T5M8A,2010-01-22,2011-01-21,Female,40.0,2010-01-22,1,,Grey,Mercedes,Lagos Mainland,Lagos,Car Classic,0
32,ID_02XA0UK,2010-10-07,2011-04-05,,34.0,2010-10-07,1,,,nan,Victoria Island,Lagos,Car Classic,0
33,ID_034XN1U,2010-07-02,2011-07-01,,,2010-07-02,1,Motorcycle,Red,Jincheng,Victoria Island,Lagos,Motor Cycle,0
34,ID_035HSJO,2010-06-21,2011-06-19,Female,36.0,2010-06-21,1,JEEP,,Mercedes,,,Car Plus,0
35,ID_03H676V,2010-04-04,2011-04-03,Male,37.0,2010-04-04,1,Saloon,,Honda,,,CarSafe,0
36,ID_03HT5Q0,2010-11-28,2011-11-27,Male,46.0,2010-11-28,1,,,nan,,,CarSafe,0
37,ID_03LHF6C,2010-08-07,2011-08-06,Male,48.0,2010-08-07,1,,,nan,,,CarSafe,0
38,ID_03O8OI6,2010-05-08,2011-05-07,,,2010-05-08,2,JEEP,,TOYOTA,Victoria Island,Lagos,Car Classic,0
39,ID_03U3I31,2010-09-06,2011-09-05,Male,39.0,2010-09-06,2,Saloon,Red,TOYOTA,Oshodi-Isolo,Oshodi-Isolo,Car Classic,0
40,ID_03UD6OT,2010-11-09,2011-11-08,Female,63.0,2010-11-09,2,Saloon,,ACURA,Abuja Municipal,Abuja-Municipal,CarSafe,0
41,ID_03V06TZ,2010-03-12,2011-03-11,Female,39.0,2010-03-12,1,Saloon,Black,Honda,Alimosho,Lagos,Car Classic,0
42,ID_042RNAI,2010-02-12,2011-02-11,Male,40.0,2010-02-12,1,Saloon,,Honda,,,CarSafe,0
43,ID_046FQ5I,2010-04-25,2011-04-09,Male,47.0,2010-04-25,1,JEEP,Black,Ford,"Okpe, Delta State",Delta,Car Classic,0
44,ID_04C9IRV,2010-12-25,2011-04-24,Female,36.0,2010-12-25,1,,,nan,,,Car Classic,0
45,ID_04FP4M2,2010-01-13,2011-01-12,Female,47.0,2010-01-13,3,JEEP,,Lexus,Asaba,Delta,Car Classic,1
46,ID_04JEN82,2010-03-08,2011-02-09,Male,41.0,2010-03-08,2,Saloon,Silver,TOYOTA,IbadanCentral,Benue,Car Plus,0
47,ID_04RDLQY,2010-07-08,2011-07-07,Male,42.0,2010-07-08,3,Truck,Green,Iveco,Abeokuta,Ogun,CVTP,0
48,ID_04RZ9TY,2010-04-15,2011-04-14,Male,38.0,2010-04-15,1,Saloon,Green,TOYOTA,,,Car Classic,0
49,ID_04Z1VXP,2010-09-09,2011-09-08,Female,27.0,2010-09-09,1,,,nan,,,Car Classic,0
50,ID_052YTIW,2010-06-06,2011-06-05,Male,42.0,2010-06-06,1,Saloon,Red,TOYOTA,Lekki,Lagos,Car Classic,1
51,ID_0559SH8,2010-05-20,2011-05-19,Male,39.0,2010-05-20,1,Saloon,Grey,Honda,,,Car Classic,0
52,ID_0577HW2,2010-04-26,2011-04-25,Female,30.0,2010-04-26,2,Saloon,Black,TOYOTA,Ibeju/Lekki,Ibeju-Lekki,Car Classic,0
53,ID_058FZ64,2010-04-23,2011-04-22,Female,64.0,2010-04-23,1,Saloon,Black,TOYOTA,,,Car Classic,0
54,ID_058YC0S,2010-11-28,2011-11-27,,,2010-11-28,1,JEEP,Black,Lexus,Victoria Island,Lagos,Customized Motor,0
55,ID_05CDD8E,2010-07-31,2011-07-30,Male,36.0,2010-07-31,1,Saloon,,Volkswagen,,,CarSafe,0
56,ID_05FC0AD,2010-07-04,2011-07-03,Female,50.0,2010-07-04,1,Saloon,,TOYOTA,OBANIKORO,Benue,Car Classic,0
57,ID_05HTYFW,2010-08-15,2011-08-14,Female,53.0,2010-08-15,1,Saloon,,TOYOTA,,,CarSafe,0
58,ID_05R7YFI,2010-02-18,2011-02-17,Male,37.0,2010-02-18,1,JEEP,Ash,Lexus,Agege,Lagos,Car Classic,1
59,ID_05RDR1E,2010-08-21,2011-07-16,Male,33.0,2010-08-21,2,,,nan,ISHERI,Benue,Car Classic,0
60,ID_05ROASD,2010-09-17,2011-09-16,Male,23.0,2010-09-17,1,,,nan,,,Car Classic,0
61,ID_05VUW92,2010-07-26,2011-03-01,Male,47.0,2010-07-26,1,,,nan,,,Car Classic,0
62,ID_063CV9E,2010-09-20,2011-09-19,Male,47.0,2010-09-20,1,,,nan,,,CarSafe,0
63,ID_063MQH3,2010-10-09,2011-04-08,Male,45.0,2010-10-09,1,Saloon,Blue,TOYOTA,Kosofe,Benue,Car Classic,1
64,ID_067V50A,2010-04-04,2011-04-02,Male,32.0,2010-04-04,1,Saloon,,Mercedes,,,CarSafe,0
65,ID_06A4GSU,2010-11-26,2011-11-25,Male,59.0,2010-11-26,1,,,nan,,,Car Classic,0
66,ID_06BSIZB,2010-01-17,2011-01-16,Male,30.0,2010-01-17,1,Saloon,,Nissan,,,CarSafe,0
67,ID_06CA2IY,2010-05-13,2011-04-10,Female,60.0,2010-05-13,1,Saloon,,TOYOTA,IbadanCentral,Benue,Car Classic,1
68,ID_06HCAU1,2010-06-19,2011-04-14,Male,37.0,2010-06-19,1,Truck,White,DAF,OGUN,Ogun,CVTP,0
69,ID_06MWQX4,2010-07-11,2011-07-10,Female,37.0,2010-07-11,1,Saloon,,TOYOTA,,,CarSafe,0
70,ID_06TZLPR,2010-11-06,2011-08-06,Male,52.0,2010-11-06,3,Saloon,Blue,TOYOTA,Apapa,Lagos,Car Classic,0
71,ID_06WKCVO,2010-04-28,2011-04-27,Male,54.0,2010-04-28,1,JEEP,,Honda,Ibadan South West,Ibadan-West,Car Plus,0
72,ID_070SYAE,2010-04-17,2011-04-16,,,2010-04-17,1,JEEP,Silver,Lexus,Victoria Island,Lagos,Customized Motor,0
73,ID_075PIAF,2010-10-17,2011-10-16,Female,40.0,2010-10-17,1,,,nan,,,CarSafe,0
74,ID_076DFB7,2010-08-08,2011-08-07,Joint Gender,,2010-08-08,1,,,nan,,,CarSafe,0
75,ID_0785NAL,2010-05-17,2011-05-15,Male,44.0,2010-05-17,1,Saloon,,Hyundai,,,CarSafe,0
76,ID_0790YUZ,2010-09-30,2011-08-13,Female,,2010-09-30,3,,,nan,Victoria Island,Lagos,Car Classic,0
77,ID_079GMOS,2010-04-10,2011-04-09,,20.0,2010-04-10,2,,,TOYOTA,Victoria Island,Lagos,Car Classic,0
78,ID_07L368O,2010-09-16,2010-12-31,,,2010-09-16,4,,,nan,Victoria Island,Lagos,Muuve,1
79,ID_07LQ83J,2010-10-23,2011-10-22,Male,78.0,2010-10-23,2,Saloon,,TOYOTA,Ibeju/Lekki,Ibeju-Lekki,Car Classic,0
80,ID_07Q2HUE,2010-03-25,2011-03-24,Male,20.0,2010-03-25,1,Saloon,,TOYOTA,,,CarSafe,0
81,ID_07SVRHZ,2010-08-23,2011-08-22,Female,28.0,2010-08-23,1,,,nan,,,Car Classic,0
82,ID_08833XP,2010-05-23,2011-05-22,Female,42.0,2010-05-23,1,JEEP,Gray & Gray,Honda,,,Car Classic,0
83,ID_088DOQ3,2010-01-07,2011-01-06,Female,50.0,2010-01-07,2,Saloon,Black,TOYOTA,Ikeja,Lagos,Car Classic,1
84,ID_08EMHRD,2010-07-23,2011-07-22,Female,37.0,2010-07-23,1,Saloon,White,TOYOTA,,,Car Classic,0
85,ID_08QV44L,2010-07-24,2011-06-13,Female,34.0,2010-07-24,1,Bus,Blue,TOYOTA,,,Car Classic,0
86,ID_091T5SH,2010-07-05,2010-12-31,,,2010-07-05,4,,,,Victoria Island,Lagos,Muuve,0
87,ID_094BCZS,2010-09-17,2011-09-16,Male,44.0,2010-09-17,1,Saloon,Black,Mercedes,Victoria Island,Lagos,Car Classic,0
88,ID_097A14O,2010-07-30,2011-07-29,,,2010-07-30,2,,,nan,Victoria Island,Lagos,CVTP,0
89,ID_09BCKQW,2010-07-24,2011-07-23,Male,39.0,2010-07-24,2,Saloon,Black,TOYOTA,Obia/Akpor,Obia-Akpor,Car Classic,0
90,ID_09E0NR0,2010-09-16,2011-09-15,Female,29.0,2010-09-16,1,,,nan,,,Car Classic,0
91,ID_09ECI55,2010-02-01,2011-01-31,Female,32.0,2010-02-01,1,Saloon,Wine,TOYOTA,Surulere,Lagos,Car Classic,0
92,ID_09IHZ9D,2010-12-12,2011-08-10,,57.0,2010-12-12,1,Saloon,Grey,Pontiac,Ibadan South East,Ibadan-East,Customized Motor,0
93,ID_09M1LIC,2010-02-11,2011-02-10,Male,38.0,2010-02-11,1,Saloon,,TOYOTA,Sapele,Delta,Car Classic,0
94,ID_09MIIAB,2010-01-15,2011-01-14,Female,,2010-01-15,3,Saloon,,TOYOTA,Victoria Island,Lagos,Customized Motor,0
95,ID_09N5ZQL,2010-04-04,2011-04-03,Male,53.0,2010-04-04,2,Saloon,Black,Honda,Abuja Municipal,Abuja-Municipal,Car Classic,0
96,ID_09OYXKX,2010-02-12,2011-02-11,Female,65.0,2010-02-12,1,Saloon,,Mercedes,,,CarSafe,0
97,ID_09TVK15,2010-01-12,2011-01-11,Female,32.0,2010-01-12,1,Saloon,,TOYOTA,,,Car Classic,0
98,ID_09YO39R,2010-07-19,2011-07-18,,20.0,2010-07-19,1,Motorcycle,,,Lekki,Lagos,Motor Cycle,0
99,ID_0A94GFU,2010-10-30,2011-10-29,Female,30.0,2010-10-30,1,,,nan,,,CarSafe,0
100,ID_0AJ12UF,2010-03-27,2011-03-26,Male,48.0,2010-03-27,1,JEEP,,TOYOTA,Oshodi-Isolo,Oshodi-Isolo,Customized Motor,0
101,ID_0AP9C8K,2010-10-23,2011-05-27,Female,37.0,2010-10-23,2,Saloon,Black,TOYOTA,Kaduna South,Kaduna-South,Car Classic,0
102,ID_0AU7A1K,2010-12-12,2011-12-11,Male,37.0,2010-12-12,1,,,nan,,,Car Classic,0
103,ID_0B5W1GU,2010-02-08,2011-02-07,Female,50.0,2010-02-08,1,Saloon,,TOYOTA,,,CarSafe,0
