,ID,Policy Start Date,Policy End Date,Gender,Age,First Transaction Date,No_Pol,Car_Category,Subject_Car_Colour,Subject_Car_Make,LGA_Name,State,ProductName,target,Mirage
8,ID_00N7XT1,2010-07-06,2011-07-05,Female,71.0,2010-07-06,2,JEEP,Black,REXTON,Badagry,Benue,Car Classic,0,1
22,ID_01ZY7FF,2010-08-07,2011-08-06,Male,30.0,2010-08-07,1,Saloon,Grey,TOYOTA,Ikeja,Lagos,Car Classic,1,1
24,ID_022U6TV,2010-10-28,2011-10-27,Male,40.0,2010-10-28,2,Saloon,Black,Honda,Abuja Municipal,Abuja-Municipal,Car Classic,0,1
26,ID_02DJWEN,2010-01-23,2011-01-16,Male,41.0,2010-01-23,1,Saloon,Silver,TOYOTA,Yaba,Benue,Car Classic,0,0
39,ID_03U3I31,2010-09-06,2011-09-05,Male,39.0,2010-09-06,2,Saloon,Red,TOYOTA,Oshodi-Isolo,Oshodi-Isolo,Car Classic,0,0
41,ID_03V06TZ,2010-03-12,2011-03-11,Female,39.0,2010-03-12,1,Saloon,Black,Honda,Alimosho,Lagos,Car Classic,0,1
43,ID_046FQ5I,2010-04-25,2011-04-09,Male,47.0,2010-04-25,1,JEEP,Black,Ford,"Okpe, Delta State",Delta,Car Classic,0,1
46,ID_04JEN82,2010-03-08,2011-02-09,Male,41.0,2010-03-08,2,Saloon,Silver,TOYOTA,IbadanCentral,Benue,Car Plus,0,0
47,ID_04RDLQY,2010-07-08,2011-07-07,Male,42.0,2010-07-08,3,Truck,Green,Iveco,Abeokuta,Ogun,CVTP,0,0
50,ID_052YTIW,2010-06-06,2011-06-05,Male,42.0,2010-06-06,1,Saloon,Red,TOYOTA,Lekki,Lagos,Car Classic,1,0
52,ID_0577HW2,2010-04-26,2011-04-25,Female,30.0,2010-04-26,2,Saloon,Black,TOYOTA,Ibeju/Lekki,Ibeju-Lekki,Car Classic,0,1
58,ID_05R7YFI,2010-02-18,2011-02-17,Male,37.0,2010-02-18,1,JEEP,Ash,Lexus,Agege,Lagos,Car Classic,1,0
63,ID_063MQH3,2010-10-09,2011-04-08,Male,45.0,2010-10-09,1,Saloon,Blue,TOYOTA,Kosofe,Benue,Car Classic,1,0
68,ID_06HCAU1,2010-06-19,2011-04-14,Male,37.0,2010-06-19,1,Truck,White,DAF,OGUN,Ogun,CVTP,0,1
70,ID_06TZLPR,2010-11-06,2011-08-06,Male,52.0,2010-11-06,3,Saloon,Blue,TOYOTA,Apapa,Lagos,Car Classic,0,0
83,ID_088DOQ3,2010-01-07,2011-01-06,Female,50.0,2010-01-07,2,Saloon,Black,TOYOTA,Ikeja,Lagos,Car Classic,1,1
87,ID_094BCZS,2010-09-17,2011-09-16,Male,44.0,2010-09-17,1,Saloon,Black,Mercedes,Victoria Island,Lagos,Car Classic,0,1
89,ID_09BCKQW,2010-07-24,2011-07-23,Male,39.0,2010-07-24,2,Saloon,Black,TOYOTA,Obia/Akpor,Obia-Akpor,Car Classic,0,1
91,ID_09ECI55,2010-02-01,2011-01-31,Female,32.0,2010-02-01,1,Saloon,Wine,TOYOTA,Surulere,Lagos,Car Classic,0,0
95,ID_09N5ZQL,2010-04-04,2011-04-03,Male,53.0,2010-04-04,2,Saloon,Black,Honda,Abuja Municipal,Abuja-Municipal,Car Classic,0,1
101,ID_0AP9C8K,2010-10-23,2011-05-27,Female,37.0,2010-10-23,2,Saloon,Black,TOYOTA,Kaduna South,Kaduna-South,Car Classic,0,1
115,ID_0CW58L7,2010-03-26,2011-03-25,Female,56.0,2010-03-26,1,JEEP,Black,Nissan,Lagos Mainland,Lagos,Car Classic,0,1
116,ID_0D03EM0,2010-03-02,2011-03-01,Female,44.0,2010-03-02,1,Saloon,Ash,TOYOTA,GBAGADA,Benue,Car Classic,0,0
119,ID_0DB63CB,2010-07-02,2011-07-01,Female,26.0,2010-07-02,1,JEEP,Black,Honda,Port Harcourt,Rivers,Car Classic,1,1
123,ID_0E0GIOO,2010-07-24,2011-01-15,Female,38.0,2010-07-24,1,JEEP,Wine,TOYOTA,Lekki,Lagos,Car Classic,0,0
126,ID_0EARV5X,2010-01-21,2011-01-20,Male,43.0,2010-01-21,1,Saloon,Green,Honda,Kosofe,Benue,Car Classic,0,0
127,ID_0EHKMTL,2010-09-04,2011-09-03,Male,50.0,2010-09-04,2,JEEP,Black,TOYOTA,Ibeju/Lekki,Ibeju-Lekki,Car Classic,0,1
129,ID_0ELAKXI,2010-02-04,2011-02-03,Male,30.0,2010-02-04,2,Saloon,Black,Honda,Obia/Akpor,Obia-Akpor,Car Classic,1,1
130,ID_0EM6LSO,2010-03-26,2011-03-24,Female,65.0,2010-03-26,1,JEEP,Black,TOYOTA,Lagos Mainland,Lagos,Car Classic,0,1
146,ID_0FP7360,2010-12-09,2011-10-22,Male,46.0,2010-12-09,1,JEEP,Black,TOYOTA,Surulere,Lagos,Car Classic,0,1
157,ID_0GO0K5A,2010-01-10,2011-01-09,Male,51.0,2010-01-10,1,Saloon,Red,Hyundai,Central,Benue,Car Classic,0,0
159,ID_0GVDM31,2010-01-11,2011-01-10,Male,58.0,2010-01-11,3,Saloon,Silver,TOYOTA,Ikeja,Lagos,Car Classic,0,0
162,ID_0H49SVS,2010-02-25,2011-02-24,Male,43.0,2010-02-25,1,Saloon,Brown,TOYOTA,Obia/Akpor,Obia-Akpor,Car Classic,1,0
171,ID_0IGLH7L,2010-01-12,2011-01-11,Male,40.0,2010-01-12,1,Saloon,Gold,TOYOTA,Ebute-Metta,Lagos,Car Classic,0,0
173,ID_0ILENCN,2010-05-21,2011-05-20,Male,55.0,2010-05-21,3,JEEP,Black,TOYOTA,Victoria Island,Lagos,Customized Motor,0,1
177,ID_0IRFUYB,2010-06-06,2011-06-05,Female,37.0,2010-06-06,1,JEEP,Black,TOYOTA,Uyo,Akwa-Ibom,Car Classic,0,1
184,ID_0K1VPIE,2010-03-04,2011-03-03,Male,41.0,2010-03-04,1,Saloon,Blue,TOYOTA,Mushin,Lagos,Car Classic,0,0
191,ID_0KVEKCF,2010-09-09,2011-09-08,Female,34.0,2010-09-09,1,Saloon,Red,TOYOTA,Alimosho,Lagos,Car Classic,0,0
195,ID_0L4IT7F,2010-06-20,2011-06-19,Male,62.0,2010-06-20,2,JEEP,Black,Honda,Katagum,Benue,Car Classic,0,1
214,ID_0N2X552,2010-04-15,2011-01-03,Female,33.0,2010-04-15,1,Saloon,Green,Honda,Amuwo-Odofin,Amuwo-Odofin,Car Classic,0,0
222,ID_0OH05TQ,2010-03-20,2011-03-19,Male,39.0,2010-03-20,1,JEEP,Wine,TOYOTA,Ikeja,Lagos,Car Classic,0,0
