,ID,Policy Start Date,Policy End Date,Gender,Age,First Transaction Date,No_Pol,Car_Category,Subject_Car_Make,ProductName,target
0,ID_0040R73,2010-05-14,2011-05-13,Male,30.0,2010-05-14,1,Saloon,TOYOTA,Car Classic,0
1,ID_0046BNK,2010-11-29,2011-11-28,Female,79.0,2010-11-29,1,JEEP,TOYOTA,Car Classic,1
2,ID_005QMC3,2010-03-21,2011-03-20,Male,43.0,2010-03-21,1,Saloon,TOYOTA,Car Classic,0
7,ID_00M1X6U,2010-09-12,2011-09-11,Male,43.0,2010-09-12,1,Saloon,TOYOTA,CarSafe,0
8,ID_00N7XT1,2010-07-06,2011-07-05,Female,71.0,2010-07-06,2,JEEP,REXTON,Car Classic,0
11,ID_00TMUS4,2010-10-25,2011-10-23,Male,45.0,2010-10-25,1,JEEP,Lexus,Car Plus,0
12,ID_00VRPZL,2010-01-03,2011-01-02,Male,51.0,2010-01-03,1,Saloon,TOYOTA,Car Classic,1
16,ID_01BJS22,2010-04-26,2011-04-25,Female,69.0,2010-04-26,1,Saloon,TOYOTA,CarSafe,0
17,ID_01HTP5J,2010-05-09,2011-05-08,Female,31.0,2010-05-09,1,Saloon,TOYOTA,Car Classic,0
22,ID_01ZY7FF,2010-08-07,2011-08-06,Male,30.0,2010-08-07,1,Saloon,TOYOTA,Car Classic,1
23,ID_020608O,2010-03-05,2011-03-04,Male,34.0,2010-03-05,1,Saloon,TOYOTA,Car Classic,0
24,ID_022U6TV,2010-10-28,2011-10-27,Male,40.0,2010-10-28,2,Saloon,Honda,Car Classic,0
26,ID_02DJWEN,2010-01-23,2011-01-16,Male,41.0,2010-01-23,1,Saloon,TOYOTA,Car Classic,0
27,ID_02GM2IL,2010-07-02,2011-07-01,Male,31.0,2010-07-02,1,Saloon,TOYOTA,Car Classic,0
28,ID_02NAGK1,2010-03-01,2011-03-01,Male,40.0,2010-03-01,1,Saloon,TOYOTA,CarSafe,0
30,ID_02RCBEU,2010-03-16,2011-03-15,Male,47.0,2010-03-16,2,Saloon,TOYOTA,CarSafe,0
34,ID_035HSJO,2010-06-21,2011-06-19,Female,36.0,2010-06-21,1,JEEP,Mercedes,Car Plus,0
35,ID_03H676V,2010-04-04,2011-04-03,Male,37.0,2010-04-04,1,Saloon,Honda,CarSafe,0
39,ID_03U3I31,2010-09-06,2011-09-05,Male,39.0,2010-09-06,2,Saloon,TOYOTA,Car Classic,0
40,ID_03UD6OT,2010-11-09,2011-11-08,Female,63.0,2010-11-09,2,Saloon,ACURA,CarSafe,0
41,ID_03V06TZ,2010-03-12,2011-03-11,Female,39.0,2010-03-12,1,Saloon,Honda,Car Classic,0
42,ID_042RNAI,2010-02-12,2011-02-11,Male,40.0,2010-02-12,1,Saloon,Honda,CarSafe,0
43,ID_046FQ5I,2010-04-25,2011-04-09,Male,47.0,2010-04-25,1,JEEP,Ford,Car Classic,0
45,ID_04FP4M2,2010-01-13,2011-01-12,Female,47.0,2010-01-13,3,JEEP,Lexus,Car Classic,1
46,ID_04JEN82,2010-03-08,2011-02-09,Male,41.0,2010-03-08,2,Saloon,TOYOTA,Car Plus,0
47,ID_04RDLQY,2010-07-08,2011-07-07,Male,42.0,2010-07-08,3,Truck,Iveco,CVTP,0
48,ID_04RZ9TY,2010-04-15,2011-04-14,Male,38.0,2010-04-15,1,Saloon,TOYOTA,Car Classic,0
50,ID_052YTIW,2010-06-06,2011-06-05,Male,42.0,2010-06-06,1,Saloon,TOYOTA,Car Classic,1
51,ID_0559SH8,2010-05-20,2011-05-19,Male,39.0,2010-05-20,1,Saloon,Honda,Car Classic,0
52,ID_0577HW2,2010-04-26,2011-04-25,Female,30.0,2010-04-26,2,Saloon,TOYOTA,Car Classic,0
53,ID_058FZ64,2010-04-23,2011-04-22,Female,64.0,2010-04-23,1,Saloon,TOYOTA,Car Classic,0
55,ID_05CDD8E,2010-07-31,2011-07-30,Male,36.0,2010-07-31,1,Saloon,Volkswagen,CarSafe,0
56,ID_05FC0AD,2010-07-04,2011-07-03,Female,50.0,2010-07-04,1,Saloon,TOYOTA,Car Classic,0
57,ID_05HTYFW,2010-08-15,2011-08-14,Female,53.0,2010-08-15,1,Saloon,TOYOTA,CarSafe,0
58,ID_05R7YFI,2010-02-18,2011-02-17,Male,37.0,2010-02-18,1,JEEP,Lexus,Car Classic,1
63,ID_063MQH3,2010-10-09,2011-04-08,Male,45.0,2010-10-09,1,Saloon,TOYOTA,Car Classic,1
64,ID_067V50A,2010-04-04,2011-04-02,Male,32.0,2010-04-04,1,Saloon,Mercedes,CarSafe,0
